index,date,name,category,value
425,2020-09-01,District of Columbia,0,98.0
426,2020-09-01,Florida,10,15377.0
427,2020-09-01,Georgia,11,6712.0
428,2020-09-01,Hawaii,12,648.0
429,2020-09-01,Idaho,13,575.0
430,2020-09-01,Illinois,14,3684.0
431,2020-09-01,Indiana,15,3082.0
432,2020-09-01,Iowa,16,1503.0
433,2020-09-01,Kansas,17,1263.0
434,2020-09-01,Kentucky,18,2158.0
435,2020-09-01,Louisiana,19,2817.0
436,2020-09-01,Maine,20,13.0
437,2020-09-01,Maryland,21,1272.0
438,2020-09-01,Massachusetts,22,466.0
439,2020-09-01,Michigan,23,1264.0
440,2020-09-01,Minnesota,24,1698.0
441,2020-09-01,Mississippi,25,3346.0
442,2020-09-01,Missouri,26,4263.0
443,2020-09-01,Montana,27,480.0
444,2020-09-01,Nebraska,28,722.0
445,2020-09-01,Nevada,29,1510.0
446,2020-09-01,New Hampshire,30,0.0
447,2020-09-01,New Jersey,31,872.0
448,2020-09-01,New Mexico,32,159.0
449,2020-09-01,New York,33,690.0
450,2020-09-01,New York City,1,359.0
451,2020-09-01,North Carolina,34,6533.0
452,2020-09-01,North Dakota,35,537.0
453,2020-09-01,Ohio,36,4438.0
454,2020-09-01,Oklahoma,37,2441.0
455,2020-09-01,Oregon,38,274.0
456,2020-09-01,Pennsylvania,39,2634.0
457,2020-09-01,Rhode Island,40,178.0
458,2020-09-01,South Carolina,41,4756.0
459,2020-09-01,South Dakota,42,680.0
460,2020-09-01,Tennessee,43,5019.0
461,2020-09-01,Texas,44,18422.0
462,2020-09-01,Utah,45,318.0
463,2020-09-01,Vermont,46,0.0
464,2020-09-01,Virginia,47,2905.0
465,2020-09-01,Washington,48,1175.0
466,2020-09-01,West Virginia,49,566.0
467,2020-09-01,Wisconsin,50,1436.0
468,2020-09-01,Wyoming,51,12.0
469,2020-10-01,Alabama,2,3470.0
470,2020-10-01,Alaska,3,84.0
471,2020-10-01,Arizona,4,1622.0
472,2020-10-01,Arkansas,5,4360.0
473,2020-10-01,California,6,11887.0
474,2020-10-01,Colorado,7,1670.0
475,2020-10-01,Connecticut,8,753.0
476,2020-10-01,Delaware,9,415.0
477,2020-10-01,District of Columbia,0,147.0
478,2020-10-01,Florida,10,10439.0
479,2020-10-01,Georgia,11,5399.0
480,2020-10-01,Hawaii,12,239.0
481,2020-10-01,Idaho,13,1160.0
482,2020-10-01,Illinois,14,7615.0
483,2020-10-01,Indiana,15,6835.0
484,2020-10-01,Iowa,16,3601.0
485,2020-10-01,Kansas,17,2858.0
486,2020-10-01,Kentucky,18,4011.0
487,2020-10-01,Louisiana,19,2161.0
488,2020-10-01,Maine,20,10.0
489,2020-10-01,Maryland,21,1720.0
490,2020-10-01,Massachusetts,22,1230.0
491,2020-10-01,Michigan,23,3805.0
492,2020-10-01,Minnesota,24,3884.0
493,2020-10-01,Mississippi,25,2990.0
494,2020-10-01,Missouri,26,7350.0
495,2020-10-01,Montana,27,2092.0
496,2020-10-01,Nebraska,28,2074.0
497,2020-10-01,Nevada,29,1154.0
498,2020-10-01,New Hampshire,30,114.0
499,2020-10-01,New Jersey,31,1878.0
500,2020-10-01,New Mexico,32,939.0
501,2020-10-01,New York,33,1771.0
502,2020-10-01,New York City,1,654.0
503,2020-10-01,North Carolina,34,7122.0
504,2020-10-01,North Dakota,35,2114.0
505,2020-10-01,Ohio,36,6811.0
506,2020-10-01,Oklahoma,37,4473.0
507,2020-10-01,Oregon,38,676.0
508,2020-10-01,Pennsylvania,39,5254.0
509,2020-10-01,Rhode Island,40,553.0
510,2020-10-01,South Carolina,41,3986.0
511,2020-10-01,South Dakota,42,1833.0
512,2020-10-01,Tennessee,43,7048.0
513,2020-10-01,Texas,44,22156.0
514,2020-10-01,Utah,45,1185.0
515,2020-10-01,Vermont,46,0.0
516,2020-10-01,Virginia,47,2967.0
517,2020-10-01,Washington,48,1736.0
518,2020-10-01,West Virginia,49,736.0
519,2020-10-01,Wisconsin,50,7763.0
520,2020-10-01,Wyoming,51,279.0
521,2020-11-01,Alabama,2,4811.0
522,2020-11-01,Alaska,3,247.0
523,2020-11-01,Arizona,4,6332.0
524,2020-11-01,Arkansas,5,5734.0
525,2020-11-01,California,6,21238.0
526,2020-11-01,Colorado,7,8911.0
527,2020-11-01,Connecticut,8,3133.0
528,2020-11-01,Delaware,9,426.0
529,2020-11-01,District of Columbia,0,361.0
530,2020-11-01,Florida,10,13436.0
531,2020-11-01,Georgia,11,7086.0
532,2020-11-01,Hawaii,12,80.0
533,2020-11-01,Idaho,13,2694.0
534,2020-11-01,Illinois,14,23341.0
535,2020-11-01,Indiana,15,16230.0
536,2020-11-01,Iowa,16,11047.0
537,2020-11-01,Kansas,17,6609.0
538,2020-11-01,Kentucky,18,8475.0
539,2020-11-01,Louisiana,19,3517.0
540,2020-11-01,Maine,20,391.0
